NEAQ ID,Name of Whale,Broken,PB,L Lip,R Lip,Full Head Options,Left Head Options,Right Head Options,Sig Features,whaleimage,tailimage,lefthead,righthead
4190,Curlew,Y,2,N,N,B 1 sym isl,B 1 isl,B 1 isl,back - line scar,4190-Curlew.jpg,4190-Curlew_T.jpg,4190-Curlew-left.jpg,4190-Curlew-right.jpg
4310,,Y,2,Y,Y,,B no isl,B no isl,,4310.jpg,4310_T.jpg,4310-left.jpg,4310-right.jpg
4340,Pilgrim,N,2,N,N,,C 2 pen,C 2 pen,,4340b-Pilgrim.jpg,4340-Pilgrim_T.jpg,4340-Pilgrim-left.jpg,4340-Pilgrim-right.jpg
4340,Pilgrim,Y,2,N,N,,B long pen coam,B long pen coam,,4340-Pilgrim.jpg,4340-Pilgrim_T.jpg,4340-Pilgrim-left.jpg,4340-Pilgrim-right.jpg
4423,Nebula,N,2,Y,Y,C 2 pen L for,C 1 pen,C 1 pen,,4423-Nebula.jpg,4423-Nebula_T.jpg,4423-Nebula-left.jpg,4423-Nebula-right.jpg
4440,Avalanche,Y,2,N,N,,B long coam w isl,B long coam w isl,,4440-Avalanche.jpg,4440-Avalanche_T.jpg,4440-Avalanche-left.jpg,4440-Avalanche-right.jpg
4445,Bishop,N,2,N,N,C 2 pen L for,C 1 pen,C 1 pen,,4445-Bishop.jpg,4445-Bishop_T.jpg,4445-Bishop-left.jpg,4445-Bishop-right.jpg
4446,,Y,2,N,N,,B long pen coam,B long pen coam,,4446.jpg,4446_T.jpg,4446-left.jpg,4446-right.jpg
4457,Seamount,Y,2,Y,Y,,B long pen coam,B long pen coam,,4457-Seamount.jpg,4457-Seamount_T.jpg,4457-Seamount-left.jpg,4457-Seamount-right.jpg
4457,Seamount,Y,2,Y,Y,,B long pen coam,B long pen coam,,4457b-Seamount.jpg,4457-Seamount_T.jpg,4457-Seamount-left.jpg,4457-Seamount-right.jpg
4501,,N,2,Y,Y,C 2 pen L for,C 1 pen,C 1 pen,callosity - dot scar right,4501.jpg,4501_T.jpg,4501-left.jpg,4501-right.jpg
4510,Shelagh,Y,2,N,N,B 1 sym isl,B 1 isl,B 2 isl,back - scar small patch,4510-Shelagh.jpg,4510-Shelagh_T.jpg,4510-Shelagh-left.jpg,4510-Shelagh-right.jpg
4523,,Y,4,N,N,,B no isl,B no isl,,4523.jpg,4523_T.jpg,4523-left.jpg,4523-right.jpg
4523,,Y,4,N,N,B 1 sym isl,B 1 isl,B 1 isl,,4523.jpg,4523_T.jpg,4523-left.jpg,4523-right.jpg
4530,,Y,2,N,N,,B 2 isl,B 2 isl,,4530.jpg,4530_T.jpg,4530-left.jpg,4530-right.jpg
4539,,Y,2,N,Y,,B long pen coam,B long pen coam,,4539.jpg,4539_T.jpg,4539-left.jpg,4539-right.jpg
4545,,Y,1,N,N,,B 2 isl,B 1 isl,,4545.jpg,4545_T.jpg,4545-left.jpg,4545-right.jpg
4546,,Y,2,N,N,,B 2 isl,B 1 isl,,4546.jpg,4546_T.jpg,left-nohead.jpg,right-nohead.jpg
4601,Gully,N,3,N,N,B 2 isl R for,B 1 isl,B 1 isl,callosity - scar,4601-Gully.jpg,4601-Gully_T.jpg,4601-Gully-left.jpg,4601-Gully-right.jpg
4605,,N,2,Y,Y,,C 2 pen,C 1 pen,back - line scar,4605.jpg,4605_T.jpg,left-nohead.jpg,right-nohead.jpg
4612,,Y,2,N,N,,B long coam no isl,B long coam w isl,pbh - small lines behind,4612.jpg,4612_T.jpg,4612-left.jpg,4612-right.jpg
4615,,Y,2,N,N,,B long pen coam,B long pen coam,,4615.jpg,4615_T.jpg,4615-left.jpg,4615-right.jpg
4617,,N,2,Y,N,C 1 sym,C 1 pen,C 1 pen,,4617.jpg,4617_T.jpg,left-nohead.jpg,right-nohead.jpg
4620,,N,2,N,Y,C 2 pen L for,C 1 pen,C 1 pen,,4620.jpg,4620_T.jpg,4620-left.jpg,4620-right.jpg
4620,,Y,2,N,Y,B 2 isl L for,B 1 isl,B 1 isl,,4620.jpg,4620_T.jpg,left-nohead.jpg,right-nohead.jpg
4633,,Y,2,Y,Y,,B long pen coam,B long pen coam,,4633.jpg,4633_T.jpg,4633-left.jpg,4633-right.jpg
4640,,Y,2,Y,Y,,B long coam no isl,B long coam no isl,,4640b.jpg,4640b_T.jpg,left-nohead.jpg,right-nohead.jpg
4640,,Y,2,Y,Y,B 1 sym isl,B 1 isl,B 1 isl,,4640.jpg,4640_T.jpg,4640-left.jpg,4640-right.jpg
4650,Sebastian,Y,2,N,N,B 1 sym isl,B 1 isl,B 1 isl,,4650-Sebastian.jpg,4650-Sebastian_T.jpg,4650-Sebastian-left.jpg,4650-Sebastian-right.jpg
4680,G055,N,2,,,C 2 pen R for,C 1 pen,C 2 pen,,4680.jpg,4680_T.jpg,left-nohead.jpg,right-nohead.jpg
4720,G056,N,2,N,N,C any 4 asym,C 2 pen,C 2 pen,,4720.jpg,4720_T.jpg,4720-left.jpg,4720-right.jpg
4720,G056,N,2,N,N,C any 4 asym,C 2 pen,C 2 pen,,4720b.jpg,4720_T.jpg,4720-left.jpg,4720-right.jpg
4903,2019CalfOf2503,Y,2,,,,B 1 isl,B long coam w isl,,4903.jpg,no_tail.jpg,4903-left.jpg,4903-right.jpg
4917,2019CalfOf3317,Y,3,,,B R isl for,B 1 isl,B 1 isl,,4917.jpg,no_tail.jpg,4917-left.jpg,4917-right.jpg
4991,2019CalfOf2791,N,2,,,C 2 pen R for,C 1 pen,C 1 pen,,4991.jpg,no_tail.jpg,4991-left.jpg,4991-right.jpg
,2019CalfOf4180,N,2,,,C 2 pen R for,C 1 pen,C 1 pen,,_2019CalfOf4180.jpg,no_tail.jpg,left-nohead.jpg,right-nohead.jpg
,2020CalfOf3546,N,,,,,,,,_2020CalfOf3546.jpg,_2020CalfOf3546_T.jpg,left-nohead.jpg,right-nohead.jpg
,2020CalfOf3101,N,1,N,N,,C 2 pen,C 2 pen,back - scar small axe shape,_2020CalfOf3101.jpg,_2020CalfOf3101_T.jpg,left-nohead.jpg,right-nohead.jpg
,2020CalfOf2642,Y,,,,,,,back - line scar,_2020CalfOf2642.jpg,_2020CalfOf2642_T.jpg,left-nohead.jpg,right-nohead.jpg
,2021CalfOf3520,Y,,,,,,,2021 calf,_2021CalfOf3520.jpg,_2021CalfOf3520_T.jpg,left-nohead.jpg,right-nohead.jpg
,2021CalfOf3942,N,,,,,,,2021 calf,_2021CalfOf3942.jpg,_2021CalfOf3942_T.jpg,left-nohead.jpg,right-nohead.jpg
,2021CalfOf3020,Y,,,,,,,2021 calf,_2021CalfOf3020.jpg,_2021CalfOf3020_T.jpg,left-nohead.jpg,right-nohead.jpg
,2021CalfOf3720,Y,,,,,,,2021 calf,_2021CalfOf3720.jpg,_2021CalfOf3720_T.jpg,left-nohead.jpg,right-nohead.jpg
,2021CalfOf3860,Y,,,,,,,2021 calf,_2021CalfOf3860.jpg,_2021CalfOf3860_T.jpg,left-nohead.jpg,right-nohead.jpg
,2021CalfOf3904,Y,,,,,,,2021 calf,_2021CalfOf3904.jpg,_2021CalfOf3904_T.jpg,left-nohead.jpg,right-nohead.jpg
,2021CalfOf4040,Y,,,,,,,2021 calf,_2021CalfOf4040.jpg,_2021CalfOf4040_T.jpg,left-nohead.jpg,right-nohead.jpg
,2021CalfOf3232,Y,,,,,,,2021 calf,_2021CalfOf3232.jpg,no_tail.jpg,left-nohead.jpg,right-nohead.jpg
,2022CalfOf1245,Y,,,,,,,2022 calf,_2022CalfOf1245.jpg,no_tail.jpg,left-nohead.jpg,right-nohead.jpg
,2022CalfOf4180,Y,2,,,,bkn no isl,bkn 1 isl,2022 calf,_2022CalfOf4180.jpg,_2022CalfOf4180_T.jpg,left-nohead.jpg,right-nohead.jpg
