ID,Name of Whale,Broken,PB,L Lip,R Lip,Full Head Options,Left Head Options,Right Head Options,whaleimage,tailimage
2760,,Y,2,N,Y,B 2 isl L for,B 1 isl,B 1 isl,2760.jpg,2760_T.jpg
2791,,N,2,Y,Y,,C 1 or 2 pen,C 1 pen,2791-Fenway.jpg,2791-Fenway_T.jpg
2904,,N,2,Y,Y,C 2 pen L for,C 1 pen,C 1 pen,2904_right.jpg,2904_T.jpg
2904,,N,2,Y,Y,C 1 sym,C 1 pen,C 1 pen,2904_left.jpg,2904_T.jpg
2910,,N,2,N,Y,C 1 sym,C 1 pen,C 1 pen,2910.jpg,2910_T.jpg
2920,,Y,2,Y,Y,,B long coam no isl,B long coam no isl,2920.jpg,no_tail.jpg
2930,Specs,Y,2,N,N,B 1 sym isl,B 1 isl,B 1 isl,2930-Specs.jpg,2930-Specs_T.jpg
3101,Harmonia,N,2,Y,Y,C 1 sym,C 1 or 2 pen,C 1 pen,3101-Harmonia.jpg,3101-Harmonia_T.jpg
3110,,Y,2,N,N,,B 1 pen on coam,B dbl pen on coam,3110.jpg,no_tail.jpg
3115,Harmony,Y,2,N,N,,B long pen coam,B long pen coam,3115-Harmony.jpg,no_tail.jpg
3115,Harmony,Y,3,N,N,,B long pen coam,B long pen coam,3115-Harmony.jpg,no_tail.jpg
3125,,N,2,Y,Y,C any 4 asym,C 1 pen,C 1 or 2 pen,3125.jpg,3125_T.jpg
3140,Lou,N,1,Y,Y,C any 4 asym,C 2 pen,C 3 pen or C isl,3140-Lou.jpg,no_tail.jpg
3157,,N,2,Y,Y,,C 1 pen,C 2 pen,3157.jpg,3157_T.jpg
3191,,N,2,Y,Y,,C 1 or 2 pen or C isl,C 1 or 2 pen,3191.jpg,3191_T.jpg
3193,Toothbrush,N,2,Y,Y,C 1 sym,C 1 pen,C 1 pen,3193-Toothbrush.jpg,3193-Toothbrush_T.jpg
3194,,Y,2,Y,Y,B 2 isl L for,B 1 isl,B 1 isl,3194.jpg,3194_T.jpg
3230,Infinity,N,2,Y,Y,,C dbl or C isl,C 1 pen or C isl,3230-Infinity.jpg,3230-Infinity_T.jpg
3229,,N,2,Y,Y,,C 2 pen,C 1 pen,3229_left.jpg,no_tail.jpg
3229,,N,2,Y,Y,,C 2 pen,C 1 pen,3229_right.jpg,no_tail.jpg
3232,Lobster,Y,2,N,N,B 2 isl L for,B 1 isl,B 1 isl,3232-Lobster.jpg,3232-Lobster_T.jpg
3245,,Y,2,Y,Y,B 2 isl L for,B 1 isl,B 1 isl,3245.jpg,3245_T.jpg
3296,,N,2,Y,Y,C 2 pen R for,C 1 pen,C 1 pen,3296.jpg,no_tail.jpg
3301,Neptune,N,2,N,N,C 2 pen R for,C 1 pen,C 1 pen,3301_Neptune.jpg,no_tail.jpg
3310,,N,2,Y,Y,C 2 pen L for,C 1 or 2 pen,C 1 or 2 pen,3310.jpg,no_tail.jpg
3312,,N,2,Y,Y,C 1 sym,C 1 pen,C 1 pen,3312.jpg,3312_T.jpg
3317,,Y,1,Y,Y,,B long pen coam,B long pen coam,3317.jpg,3317_T.jpg
3333,,Y,2,N,N,,B no isl,B 1 isl,3333.jpg,3333_T.jpg
3351,,N,2,Y,Y,C any 4 asym,C 2 pen,C 2 pen,3351.jpg,3351_T.jpg
3380,Lemur,Y,1,Y,Y,,B 1 isl,B 2 isl or B fused isl,3380-Lemur.jpg,3380-Lemur_T.jpg
3390,,Y,2,Y,Y,B 1 sym isl,B 1 isl,B 1 isl,3390.jpg,3390_T.jpg
3390,,Y,3,Y,Y,B 1 sym isl,B 1 isl,B 1 isl,3390.jpg,3390_T.jpg
3420,Platypus,Y,2,Y,Y,,B long coam w isl,B long coam w isl,3420-Platypus.jpg,3420-Platypus_T.jpg
3440,Cypress,N,1,Y,Y,,C isl,C isl,3440-Cypress.jpg,no_tail.jpg
3442,Armada,N,2,Y,Y,,C no pen,C no pen,3442-Armada.jpg,3442-Armada_T.jpg
3510,,N,2,N,N,C 2 pen R for,C 1 pen,C 1 pen,3510.jpg,3510_T.jpg
